bus_route_id,total_violations,bus_stop_violations,double_parked_violations,bus_lane_violations
B25,44304,15300,4947,24057
B26,20656,16389,3900,367
B35,106526,73344,31281,1901
B41,94151,40841,45662,7648
B42,10600,4087,644,5869
B44+,171083,69866,39255,61962
B46+,186192,47235,28343,110614
B62,26612,21423,4353,836
B82+,106426,55819,41389,9218
BX12+,185059,27520,48371,109168
BX19,344147,83836,211781,48530
BX28,61812,25285,34045,2482
BX28-BX38,2675,0,0,2675
BX35,77259,11913,48536,16810
BX36,225835,64948,139133,21754
BX38,29878,7521,22357,0
BX41+,229920,32284,41384,156252
BX5,1376,544,235,597
BX6+,111403,37889,67484,6030
M100,43182,4733,38449,0
M101,312466,124944,140666,46856
M14+,63941,14589,3421,45931
M15+,502765,110034,32455,360276
M2,23884,18025,1483,4376
M23+,16406,6595,787,9024
M34+,23958,11393,2090,10475
M4,13031,6983,6048,0
M42,5729,1540,108,4081
M60+,100427,27398,37902,35127
M79+,37788,6661,24131,6996
M86+,40498,7817,29621,3060
Q43,60123,27306,13838,18979
Q44+,164806,66185,30452,68169
Q5,31230,20935,3796,6499
Q53+,36728,24412,6491,5825
Q54,88424,49396,12278,26750
Q58,97785,59618,30524,7643
Q69,5794,3584,916,1294
S46,41603,7420,28444,5739
S79+,21337,7574,10541,3222
ABLE,10749,0,0,10749